Game,Artists
Octopath Traveler,"Naoki Ikushima, Mika Iizuka"
Octopath Traveler II,Naoki Ikushima
Octopath Traveler: Champions of the Continent,Naoki Ikushima
Oddworld: Munch's Oddysee,"Farzad Varahramyan, Raymond Swanland, Silvio Aebischer"
Odin Sphere,"Shigatake (characters), George Kamitani (concepts)"
Of Orcs And Men,"Cambrush, Alexandre Chaudret"
Ogre Battle 64: Person of Lordly Caliber,Toshiaki Kato
Okami,"Kenichiro Yoshimura, Sawaki Takeyasu, Mari Shimazaki"
Okamiden,M. Endo
One Piece: Pirate Warriors,???
One Piece: Pirate Warriors 2,???
One Piece: Pirate Warriors 3,???
One Piece: Pirate Warriors 4,???
One Piece: Unlimited World Red,???
One Piece: Romance Dawn,???
Onimusha: Dawn of Dreams,Naoto Kuroshima
Oninaki,"Taiki (characters), Oga Takeshi (backgrounds), Morinaga Koji (monsters)"
Ori and the Will of the Wisps,"Leonid Koliagin, Leroy van Vliet, Vadim Shchepilov, Sarah Morris, Mikhail Rakhmatullin, Lina Kit"
Our World Is Ended,???
Outriders,"Iwo Widuliński, Maciej Janaszek, Adam Lee, Waldemar van Deurse"
Outward,Etienne Vanier
Overwatch,"Arnold Tsang, Ben Zhang, David Kang, John Polidora, Nick Carver, Peter Lee, Roman Kenney, Anh Dang, Stéphane Belin, Mathias Verhasselt, Fabio Zungrone, Charles Lee, Tae Young Choi, Qiu Fang"
Overwatch 2,"Arnold Tsang, Ben Zhang, Patrick Faulwetter, Andrew Menjivar, Junah Lee, Daryl Tan, Will Murai, Tim Guo, Kejun Wang, Al Crutchley"
Pandora Saga,???
Pandora's Tower,???
Panzer Dragoon Orta,"Takashi Iwade, Kentaro Yoshida, Koichiro Tamura, Masaharu Nakayama, Toru Watanuki"
Panzer Dragoon Saga,"Katsumi Yokota, Takashi Iwade, Kentaro Yoshida, Ryuta Ueda"
Paragon,Mark Van Haitsma
Parasite Eve,Tetsuya Nomura
Parasite Eve II,Tetsuya Nomura
Path of Exile,"Qingyi Li, Roman Kupriianov, Yong Yi Lee, Jowie Lim, Eunyoung Jeon, Tomas Honz, Campbell Crawford, Henry Christian-Slane, Jaan van Eeden"
Path of Exile 2,"Roman Kupriianov, Mike Franchina, Yong Yi Lee, Qingyi Li, Henry Christian-Slane, Max Bedulenko, Jowie Lim, Paul Shut"
Penny Blood,"Miyako Kato (character designer), Nobutaka Hanya (monster designer), Masato Watanabe (locations)"
Shin Megami Tensei: Persona 2 - Innocent Sin,Kazuma Kaneko
Shin Megami Tensei: Persona 3,"Shigenori Soejima, Masayuki Doi"
Persona 3: Dancing in Moonlight,Shigenori Soejima
Persona 4,Shigenori Soejima
Persona 4 Arena,Shigenori Soejima
Persona 4 Arena Ultimax,"Shigenori Soejima, Domerica"
Persona 4: Dancing All Night,"Shigenori Soejima, Masatoshi Kobayashi, Hanako Uchibe"
Persona 5,Shigenori Soejima
Persona 5: Dancing in Starlight,Shigenori Soejima
Persona 5 Royal,Shigenori Soejima
Persona 5 Strikers,Shigenori Soejima
Persona Q: Shadow of the Labyrinth,Shigenori Soejima
Phantasy Star Online,Akikazu Mizuno
Phantasy Star Universe,"Akikazu Mizuno, Masatoshi Yasumura"
Phantom Brave,Takehito Harada
Phoenix Wright: Ace Attorney,Tatsurou Iwamoto
Phoenix Wright: Ace Attorney - Dual Destinies,Takuro Fuse
Phoenix Wright: Ace Attorney Justice for All,Tatsurou Iwamoto
Phoenix Wright: Ace Attorney Trials & Tribulations,Tatsurou Iwamoto
Pikmin 3,???
PlayStation All-Stars Battle Royale,???
Pokémon Black and White,"Yusuke Ohmura, Ken Sugimori, Takao Unno, James Turner"
Pokémon Black and White Version 2,James Turner
Pokémon Brilliant Diamond and Shining Pearl,???
Pokémon Conquest,???
Pokémon Diamond and Pearl,"Ken Sugimori, Atsuko Nishida"
Pokémon GO,"Dennis Hwang, Yusuke Kozaki, Mieke Hutchins"
Pokémon HeartGold and SoulSilver,"Ken Sugimori, Takao Unno, Motoki Fujita, Kiyomi Itani, Sachiko Nakamichi, Yasuko Sugiyama, Atsuko Nishida"
Pokémon Legends: Arceus,???
"Pokémon: Let's Go, Pikachu! & Let's Go, Eevee!",Ken Sugimori (Pokémon designs)
Pokémon Mystery Dungeon: Blue Rescue Team,"Sakae Kimura, Fujiko Nomura, Kaoru Hasegawa, Kiyomo Oe, Satoshi Tajiri, Ken Sugimori"
Pokémon Omega Ruby and Alpha Sapphire,Ken Sugimori
Pokémon Platinum,"Ken Sugimori, Atsuko Nishida"
Pokémon Ranger: Shadows of Almia,Satoshi Tajiri (original artist)
Pokémon Scarlet and Violet,???
Pokémon Sun and Moon,James Turner
Pokémon Sword and Shield,???
Pokémon Ultra Sun and Ultra Moon,James Turner
Pokémon X and Y,"Ken Sugimori, Atsuko Nishida, James Turner"
PokéPark 2: Wonders Beyond,???
Pokkén Tournament,???
Power Stone Collection,Akira Yasuda / Akiman
Prince of Persia,"Patrick Lambert, Thierry 'BARoNTiERi' Doizon"
Prince of Persia: The Fallen King,???
Prince of Persia: The Sands of Time,"Khai Nguyen, David Giraud, Raphael Lacoste"
Prince of Persia: The Two Thrones,"Raphael Lacoste, David 'Vyle' Levy, Patrick Lambert"
Prince of Persia: Warrior Within,"Gilles Beloeil, Nicolas Bouvier, Khai Nguyen"
Priston Tale,???
Professor Layton and the Diabolical Box,Takuzo Nagano
Professor Layton vs. Phoenix Wright: Ace Attorney,Kazuya Nuri
Project Spark,"Jedd Chevrier, Ryan Johnson"
Project X Zone,???
Project X Zone 2,???
Project Zero 2: Wii Edition,???
Puyo Pop Fever,Hideyuki Takenami
Puzzle & Dragons,???
Radiata Stories,"Takeshi Jonoo, Hiroshi Konishi"
Rage,"Kenneth Scott, Nicolas Bouvier, Eliott Johnson Lilly, Ben Olson, Joey Struve"
Ragnarok Online,"Lee Myung-Jin, YOYO, GoGo, S.R."
Ratchet & Clank: All 4 One,"Dave Guertin, Greg Baldwin"
Ratchet & Clank Future: A Crack in Time,"Colin Geller, Darren Quach, Ricky Zhang, Dave Guertin, Greg Baldwin"
Ratchet & Clank: Rift Apart,"Dave Guertin, Darren Quach, Nicholas Schumaker, Anna Roan"
Ray Gigant,Kazama Raita (guest illustrator)
Rayman Origins,???
Real Bout Fatal Fury Special,Shinkiro (character designs)
Red Dead Redemption 2,???
Red Faction: Armageddon,???
Remember Me,"Aleksi Briclot, Paul Chadeisson, Gary Jamroz-Palma, Michel Koch, Frédéric Augis"
Remnant: From the Ashes,"Kyle Enochs, Natalya Glushenkova, Daniel Beaulieu, Galina Loky, Jeff Talbot, Dagger Crown Studio"
Resident Evil (2002 Remake),Kenichi Ueda (character & creature design)
Resident Evil 2,"Daichan, Kazuma, Ooishi"
Resident Evil 2 (2019 Remake),"Tomonori Takano, Tomoko Takahashi, Ward Lindhout"
Resident Evil 3 (2020 Remake),???
Resident Evil 4,"Masaki Yamanaka, Yuichi Akimoto, Yoshifumi Hattori, Yasuyo Kondo, Yoshinori Matsushita, Yusuke Kan"
Resident Evil 5,???
Resident Evil 6,???
Resident Evil 7: Biohazard,???
Resident Evil: Code Veronica,???
Resident Evil: Operation Raccoon City,"Alex Carigi, Darren Gough, Brandon Reimchen"
Resident Evil Outbreak,Yoshihiro Ono
Resident Evil: Revelations,Satoshi Takamatsu
Resident Evil: Revelations 2,???
Resident Evil: The Darkside Chronicles,???
Resident Evil: The Mercenaries 3D,???
Resident Evil: The Umbrella Chronicles,"Satoshi Ueda (CG artwork), Shinkiro (Illustrations)"
Resident Evil Village,"Tomonori Takano, Masaaki Kosaka, Kana Teraguchi, Isshin Sakurai, Mai Okura, Te-Yu Liu, Rintaro Komori"
Resident Evil Zero,???
Resonance of Fate,"Kenichi Kaneko, Masashi Nakagawa, Keiko Obayashi, Kuniomi Hara, Naruhiro Kishimoto"
Revolve8: Episodic Dueling,"Koji Igarashi, Ryota-H"
Rhapsody: A Musical Adventure,"Ryoji Nomura, Kaoru Maruyama"
Rift: Planes of Telara,"Darren Pattenden, John-Paul Balmet, Justin Sweet, Vance Kovacs, James Dickenson"
RiME,"Abel Oroz, José Luis Vaello Bertol, Shaun Mooney, Nicholas Kay, Sylvain Sarrailh, Peter Boehme"
Rise of the Tomb Raider,Yohann Schepacz
Rival Schools: United by Fate,"Edayan, Kinu Nishimura"
Rogue Galaxy,"Takeshi Majima, Keiji Nagao, Jiro Morinaga"
Romancing SaGa,Tomomi Kobayashi
ROSE Online,???
Ruined King: A League of Legends Story,"Joe Madureira, Hicham Habchi, Virginia Critchfield, Baldi Konijn, Grace Liu, Philip karlov, Dashiana"
Rumble Roses XX,???
Rune Factory: A Fantasy Harvest Moon,Minako Iwasaki
Rune Factory 2: A Fantasy Harvest Moon,Minako Iwasaki
Rune Factory 5,???
Rune Factory Frontier,Minako Iwasaki
Rune Factory: Tides of Destiny,???
Ryse: Son of Rome,"Kaija Rudkiewicz, Silver Saaremael, Ramon Contini, Floris Didden"
SaGa Frontier,Tomomi Kobayashi (characters)
SaGa Frontier Remastered,Tomomi Kobayashi
Saint Seiya: Brave Soldiers,???
Saint Seiya: Soldiers' Soul,???
Samurai Shodown,Eiji Shiroi
Samurai Shodown (2019),"Yumi Saji (characters), Eisuke Ogura (illustrations)"
Samurai Shodown V,Dorio Takaya
Samurai Shodown VI,"Takkun, Eriko Kawada, Chihiro Takahashi"
Samurai Shodown Sen,Senri Kita
Samurai Warriors,"Hiroyuki Suwahara, Toshiharu Suzuki"
Samurai Warriors 3,"Ayami Kojima (Mitsunari, Nobunaga, Nouhime, Ginchiyo, & Muneshige illustrations)"
Samurai Warriors 4,???
Samurai Warriors 5,???
Scribblenauts,Edison Yan
Secret of Mana (Remake),"HACCAN, Hiroo Isono"
The Secret World,"Olve Askim, Hongqi Zhang"
Sekiro: Shadows Die Twice,???
Sengoku Basara,Makoto Tsuchibayashi
Sengoku Basara 2,Makoto Tsuchibayashi
Sengoku Basara: Samurai Heroes,???
Senran Kagura: Peach Beach Splash,Senran Kagura: Peach Beach Splash Official Illustration Collection
Shadow Hearts: Covenant,Miyako Kato
Shadow Hearts: From The New World,Miyako Kato
Shadow of the Colossus,"Shunpei Suzuki, Hitoshi Niwa"
Shadow of the Colossus (2018),"Shunpei Suzuki, Hitoshi Niwa"
Shadow of the Tomb Raider,"Frédéric Bennett, Andy Park"
Shattered,"Alexandre Chaudret, Giorgio Grecu, Marvin Herbring, Derek Poole, Jeff Brown, Crystal Sully"
Shenmue 2,"Tetsunari Iwasaki, Takahito Minei, Yumiko Sonoyama, Rie Sakurai, Atsuo Takayasu, Takashi Yamaguchi"
Shining Force EXA,Pako
Shining Tears,Tony Taka
Shining Wind,Tony Taka
Shin Megami Tensei V,"Masayuki Doi, Kazuma Kaneko"
Shin Megami Tensei: Digital Devil Saga,Kazuma Kaneko (character designs)
Shin Megami Tensei Liberation Dx2,Tatsuro Iwamoto
Shovel Knight,"Erin Pellon, Nick Wozniak"
Silence: The Whispered World II,???
Silent Hill 3,Masahiro Ito
Silent Hill Homecoming,Kenzie Louis LaMar
SINoALICE,"Jino, Takuya Miura (character designs)Kimihiko Fujisaka (Drakengard 3 characters)"
Skies of Arcadia,Itsuki Hoshi
Sky: Children of the Light,"Tom Zhao, Tomé Costa"
Sly 3: Honor Among Thieves,"Travis Kotzebue, Jordan Kotzebue, Dev Madan"
Sly Cooper: Thieves in Time,Paul Sullivan
SNK Heroines: Tag Team Frenzy,Eisuke Ogura
SNK vs. Capcom: SVC Chaos,"Nona (character designs), Falcoon (box illustration), Shinkiro (poster art)"
Solatorobo: Red The Hunter,"Nobuteru Yuki, Yoshitake Taniguchi"
Sonic & All-Stars Racing Transformed,???
Sonic & Sega All-Stars Racing,"David Blewett, Steve Thomas, Andy Ritson"
Sonic Adventure,"Yuji Uekawa (initial concepts, finalized by other artists)"
Sonic Battle,"Yuji Uekawa, Hisanobu Kometani"
Sonic Boom,"Nicolas Weis, Armand Serrano, Sylvain Deboissy, Travis Ruiz, Jason Norton, Erwin Madrid, Travis Kohler, Yuhki Demers"
Sonic Chronicles: The Dark Brotherhood,Joel McMillan
Sonic Colors,???
Sonic Frontiers,"Yoshitaka Miura, Yuji Uekawa, Yui Karasuno"
Soulcalibur,???
Soulcalibur II,"Takuji Kawano, Aya Takemura"
Soulcalibur III,Takuji Kawano
Soulcalibur IV,"Takuji Kawano, Yutaka Izubuchi, Mine Yoshizaki, Hiroya Oku, Ito Ogure / Oh! great, Hideo Yoshie, Hirokazu Hisayuki"
Soulcalibur V,"Takuji Kawano, Mari Shimazaki"
Soulcalibur VI,"Takuji Kawano (characters), Junny (illustrations), Hiroaki Hashimoto (story art)"
Soulcalibur: Broken Destiny,???
Soulcalibur Legends,"Takuji Kawano, Masaya Fukasawa, Kenji Kimura, Satoko Nakayama, Shinichiro Ozawa"
Soul Hackers 2,Shirow Miwa
The Soulless: Bloody Nocturne of Astonishia,Limha Lekan / Maxx Soul
Soul Sacrifice,???
Spectral Force 3,???
Spectral Souls,Katsuyuki Hirano
Spectral Souls II,Katsuyuki Hirano
SpellForce 3,"Raphael Lübke, Vladimir Krisetskiy, Maxim Veherin, Moritz Lacusteanu"
Spider-Man (2018),"Dennis Chan, Julien Renoult"
Spider-Man: Shattered Dimensions,Roger Adams
Spyro Reignited Trilogy,"Nicholas Kole, Rob Duenas, Pedro Cardoso, Florian Coudray, Jakob Eirich, Johannes Figlhuber, Mario Manzanares, Devon Cady-Lee, Simon Kopp, Geraud Soulie, Sylvain Sarrailh, Didier Nguyen, Jeff Murchie"
StarCraft II: Wings of Liberty,"Glenn Rane, Wei Wang, Peter Lee, Samwise Didier"
Star Ocean: Till the End of Time,"Keiichi Asai, Jun Sato"
Star Ocean: Anamnesis,"Akiman, Kou Yoshinari, Kazama Raita, Kujou Ichiso, Amagaitaro, Enami Katsumi, PiKA, mot"
Star Ocean: First Departure R,Enami Katsumi
Star Ocean: Integrity and Faithlessness,Akiman (Akira Yasuda)
Star Ocean The Divine Force,"Akiman (Akira Yasuda), Yukihiro Kajimoto"
Star Ocean: The Last Hope,Katsumi Enami
Star Trek,"Thomas Pringle, Craig Sellars, Fernando Acosta"
Star Wars 1313,"Chris Ocampo, Dela Longfish, Gustavo Mendonca"
Star Wars Jedi: Fallen Order,"Jordan Lamarre-Wan, Jean-Francois Rey, Amy Fry, Bruno Werneck, Ziyong Prog Wang, George Rushing, Gabe Yeganyan, Theo Stylianides, Liam MacDonald, Gustavo Mendonça, José Daniel Cabrera Peña"
Star Wars: The Force Unleashed,"Greg Knight, Amy Beth Christenson"
Stella Deus: The Gate of Eternity,Shigenori Soejima
Stella Glow,"Ideolo, Masato Shakado, Eriko Fujiwara"
Story of Seasons: Trio of Towns,Igusa Matsuyama
Stranger of Paradise: Final Fantasy Origin,Yoshitaka Amano (logo) Tetsuya Nomura (character designs)
Stranger of Sword City,"Tsukamoto Yoko, Kazama Raita"
Street Fighter III,"Kinu Nishimura, Akiman, CRMK, Daigo Ikeno, Shoei"
Street Fighter III: 3rd Strike,Daigo Ikeno
Street Fighter III: Third Strike Online Edition,Stanley Lau / Artgerm
Street Fighter IV,Daigo Ikeno
Street Fighter V,"Bengus (story art/posters), Kit (concept art), Hinanana (tarot cards), Shinkiro (posters)"
Street Fighter 6,"Bengus, Tamio, Hiroaki Hashimoto"
Street Fighter Alpha 3,"Bengus / CRMK, Edayan, Daigo Ikeno, Hideki, Shoei"
Street Fighter: Duel,"Xin Wang, Sichong Zhang"
Street Fighter (series),"Shoei, Akiman, Kinu Nishimura, CRMK, Daigo Ikeno, Edayan, Hideki"
Street Fighter X Tekken,???
Streets of Rage 4,"Ben Fiquet, Julian Nguyen You"
Suikoden II,Ishikawa Fumi
Suikoden III,Ishikawa Fumi
Suikoden IV,Junko Kawano
Suikoden V,"Kaori Fujita, Kizaki Sub-zero, Mikisato, Riya Hozumi"
Suikoden Tierkreis,Masaki Hirooka
Sunset Overdrive,"Vaughan Ling, Vasili Zorin, ilovedust (logo & box art)"
Super Mario 3D Land,???
Super Mario 3D World,???
Super Mario Galaxy,"Kenta Motokura, Nanako Kinoshita, Kazuma Norisada, Yusuke Nakano, Shigehisa Nakaue, Ryusuke Yoshida, Yuri Adachi, Atsushi Mishima, Daisuke Watanabe"
Super Mario Galaxy 2,"Daisuke Watanabe, Nanako Kinoshita, Keisuke Okubo, Naruhisa Kawano, Daiki Nishioka"
Super Mario Odyssey,???
Super Puzzle Fighter II Turbo HD Remix,???
Super Robot Wars: Original Generation,???
Super Smash Bros. Brawl,???
Super Smash Bros. for 3DS and Wii U,"Ken Sugimori (guest art), Tetsuya Nomura (guest art), Yusuke Kozaki (guest art), Hideyuki Morioka (guest art)"
Super Smash Bros. Ultimate,???
Super Street Fighter IV,Daigo Ikeno
Sword Art Online: Hollow Fragment,???
Tactics Ogre: Let Us Cling Together,"Tsubasa Masao, Akihiko Yoshida"
Tales of Arise,"Minoru Iwamoto (characters), SWAV (DLC costumes)"
Tales of Destiny 2,Mutsumi Inomata
Tales of Eternia,Mutsumi Inomata
Tales of Graces,Mutsumi Inomata
Tales of Legendia,"Kazuto Nakazawa, Shinichiro Kobayashi, Takashi Kochiyama, Kazunobu Kawagoe, Kiyomi Yamazaki"
Tales of Symphonia,Kosuke Fujishima
Tales of the Abyss,Kosuke Fujishima
Tales of Vesperia,"Kosuke Fujishima, Minoru Iwamoto"
Tales of Xillia,"Kosuke Fujishima, Mutsumi Inomata, Daigo Okumura"
Tatsunoko vs. Capcom: Ultimate All-Stars,Shinkiro
Tekken 4,"Yoshinari Mizushima, Aya Takemura, Takuji Kawano, Kenji Kimura, Shoichi Shimizu"
Tekken 5,???
Tekken 5: Dark Resurrection,???
Tekken 6,???
Tekken 6: Bloodline Rebellion,"Mutsumi Inomata (alt costume), Masashi Kishimoto (alt costume), CLAMP (alt costume)"
Tekken 7,"Takuji Kawano, Mari Shimazaki, Yusuke Kozaki, Kenichirou Yoshimura, Ninnin"
Tekken 7: Fated Retribution,Takuji Kawano
Tekken 8,???
Tekken: Blood Vengeance,???
Tekken Mobile,???
Tekken Tag Tournament 2,"Mutsumi Inomata, Ito Oogure, Katsuya Terada, Simon Bisley, Ryouji Minagawa, Shigeto Koyama"
Tenchu: Fatal Shadows,???
TERA: The Exiled Realm of Arborea,"Kim Hyeong Seung, Yun-Jeong Kim, Seung-Jin Woo"
Terra Battle,"Kimihiko Fujisaka, Hideo Minaba, Nakaba Suzuki, Hitoshi Yoneda, Manabu Kusunoki, Yoshitaka Amano"
Terra Battle 2,"Kimihiko Fujisaka, Isamu Kamikokuryo, Sohei Kikuchi, Yusuke Naora, Miwa Komatsu, Max Berthelot, Takatoshi Goto, Yoshitomo Ikawa, Yu-ki Nishimoto"
The Order: 1886,Joey Studz
Thief,"Mathieu Latour-Duhaime, Sebastien Larroude, Arman Akopian, Nicolas Ferrand, Trong Nguyen, Joel Dos Reis Viegas"
Three Kingdoms Online,???
Time and Eternity,Vofan (Dai Yuanhong)
Titanfall,"Joel Emslie, Todd Sue, Paul Christopher, James Paick, Tu Bui, Jim Oxford, Iain McCaig, Manuel Plank-Jorge, Steve Burg, Harrison Fong, Matt Codd, Bruno Werneck"
Titanfall 2,Hethe Srodawa
Tokyo Mirage Sessions ♯FE,Toi8
Tomb Raider,"Andy Park, Brian Horton, Randy Green, Toby Gard, Camilla D'Errico, Long Vo, Jonathan Jacques-Belletête, Brenoch Adams, Sam Spratt"
Lara Croft Tomb Raider: Anniversary,"Christian Piccolo, Paul Sullivan"
Tom Clancy's Rainbow Six Siege,???
Tom Clancy's The Division,"Florian de Gesincourt, Lukas Esch"
Toukiden 2,???
Toukiden: Kiwami,Hidari (illustrations)
Toukiden: The Age of Demons,Hidari (illustrations)
Trauma Center: Second Opinion,Masayuki Doi
Travis Strikes Again: No More Heroes,"Boneface, Yuusuke Kozaki"
Trials of Mana (Remake),"HACCAN (illustration), Yoshiro Ambe (characters)"
Triangle Strategy,Naoki Ikushima
Trillion: God of Destruction,Kei Nanameda
Trine 2,Juhani Jokinen
Trinity 2,Jin Woo Park
Trouble Witches Neo!,???
Turok,"Daryl Mandryk, Chad Smith, Mike Mcartie"
Ultimate Ghosts'n Goblins,"Shin Yuasa, Makiko Nihari, Shinkiro, Shoei"
Ultimate Marvel vs. Capcom 3,"Shinkiro (posters), Tamio (characters), Bengus (poster art), Kinu Nishimura (poster art), Francesco Francavilla (poster art)"
Uncharted: Drake's Fortune,"Rich Diamant, Erwin Madrid, Kory Heinzen, Shaddy Safadi"
Uncharted 2: Among Thieves,"Shaddy Safadi, James Paick, Robh Ruppel"
Uncharted 3: Drake's Deception,"Robh Ruppel, Andrew Kim, Eytan Zana"
Uncharted 4: A Thief's End,"Eytan Zana (concept), Colin Thomas (modeling), Yibing Jiang (shading), Frank Tzeng (sculpting), Hyoung Nam, Nick Gindraux, John Sweeney"
Under Night In-Birth,Yoshihara Seiichi
Unlimited Saga,Yusuke Naora
Vagrant Story,"Akihiko Yoshida, Yoshinari Hirata"
Valdis Story: Abyssal City,"Carolina Moya, Kyron Ramsey"
Valkyria Chronicles,Raita Honjou
Valkyria Chronicles III: Unrecorded Chronicles,Raita Honjou
Valkyrie Anatomia: The Origin,"Kou Yoshinari, Kazama Raita, Nishiki Areku"
Valkyrie Elysium,Yuya Nagai (character designer)
Valkyrie Profile,"Kou Yoshinari, You Yoshinari"
Valkyrie Profile 2: Silmeria,"Kou Yoshinari, You Yoshinari, Shunya Yamashita"
Vambrace: Cold Soul,Minho Kim
Viewtiful Joe,Kumiko Suekane
Vindictus,"Kim Bum, Celder, Moonssang"
Virtua Fighter 5,???
Viva Piñata,???
Voice of Cards: The Isle Dragon Roars,Kimihiko Fujisaka
The Wagadu Chronicles,"Iga Oliwiak, Chaim Garcia, Victor Maristane, Mike Machira"
Wakfu,Gueuzav
Warframe,"Sean Bigham, Dejan Ostojic, Branislav Perkovic, Marco Hasmann, Nikita Leshakov, Liger Inuzuka, Eornheit, The Chomicki Brothers, Zeljko Duvnjak, Rosa Lee, Faven"
War of Genesis III,Hyung-tae Kim
The War of Genesis IV: Spiral Genesis,"Seunghee Lee, Lee Kyung Jin, Honey, Minho Kim, Choi Young, Kwon Yun Jeong"
War of the Visions: Final Fantasy Brave Exvius,"Ryoji Ohara (characters), Yoshitaka Amano (logo), Isamu Kamikokuryo (promo art)"
Warriors Orochi 3,???
Watch Dogs,"John Bigorgne (concept art), Fabien Troncal (CG art), Vincent Desilets (CG art), Alex Ross (poster)"
White Knight Chronicles,???
White Knight Chronicles II,???
Wild Arms 4,"Wakako Ooba, Masae Hanazawa"
Wild Arms 5,Tomomi Sasaki
Wild Arms Alter Code: F,Wakako Ooba
Wild Arms XF,Tomomi Sasaki
WildStar,"Cory Loftis, Andy Cotnam, Kory Hubbell, Ryan Metcalf, Andrew Trabbold, Garrett Hanna, Paul Poff, Mindy Lee, Max Gonzalez, Jordan Ewing, Johnson Truong"
The Witch and the Hundred Knight,"Takehito Harada, Guest Artists (Metallia illustrations)"
The Witcher 2: Assassins of Kings,"Artur Sadlos, Peter Jaworowski, Rafael Grassetti, Grant Warwick, Aleks Kirilenko, Bartlomiej Gawel, Pawel Mielniczuk (posters), Marian Chomiak (posters), Benedykt Szneider (posters)"
The Witcher 3: Wild Hunt,"Piotr Arendzikowski, Artur Sadlos, Pawel Mielniczuk, Yaroslav Grigorash, Pawel Swierczynski, Andrzej Dybowski"
The Wizard of Oz: Beyond the Yellow Brick Road,Hiroki Sato
Wizardry: Labyrinth of Lost Souls,Yuki Hayabusa
Wizardry: Town of Imprisoned Spirits,???
Wolfenstein: The New Order,Axel Torvenius
The World Ends with You,"Tetsuya Nomura, Gen Kobayashi"
The World Ends with You: Final Remix,"Tetsuya Nomura, Gen Kobayashi"
World of Final Fantasy,"Tetsuya Nomura (character designs), Yasuhisa Izumisawa (Lilikins)"
World of Warcraft: Battle for Azeroth,"Christopher Hayes, Kelvin Tan, Glenn Rane, Rob Sevilla, Matthew McKeown"
World of Warcraft: Cataclysm,"Mark Gibbons, Glenn ""Raneman"" Rane, Jimmy Lo, Justin Kunz, Phroilan Gardner"
World of Warcraft: Dragonflight,Bayard Wu
World of Warcraft: Legion,"Ryan Metcalf, Mark Abadier, Christopher Hayes, Jimmy Lo, Tyson Murphy, Rob Sevilla, Alex Garner, Glenn Rane"
World of Warcraft: Mists of Pandaria,"Mark Gibbons, Danny ""Danky"" Kim, Justin Kunz, Jimmy Lo, Glenn ""Raneman"" Rane"
World of Warcraft: Shadowlands,"Jimmy Lo, Chris Chang, Kelvin Tan, Cole Eastburn, Jon McConnell, Gabe Gonzalez, Matthew McKeown, Sarah Carmody, Thomas Yip, Lianna Tai, Ariel Fain, Kenny McBride, Mats Myrvold"
World of Warcraft: The Burning Crusade,"Glenn Rane, Wei Wang, Samwise Didier, Peter Lee, Jimmy Lo, Brian Huang, Trent Kaniuga, Justin Kunz, Justin Thavirat, Matt Milizia, Robert Sevilla, Ted Park, John Polidora, Kevin Maginnis"
World of Warcraft: Warlords of Draenor,"Samwise Didier, Jimmy Lo, Tony Washington, Chris Metzen, Ludo Lullabi"
World of Warcraft: Wrath of the Lich King,"Glenn Rane, Mark Gibbons, Wei Wang, Justin Kunz, Phroilan Gardner, Trent Kaniuga, Eddie Rainwater, Peter Lee, Graven Tung, David Luong"
XBlaze Code: Embryo,???
XBlaze Lost: Memories,???
Xenoblade Chronicles,"Yasuyuki Honne, Tonny Waiman Koo"
Xenoblade Chronicles 2,"Masatsugu Saito (Saitom), Kunihiko Tanaka, Tetsuya Nomura, Guest Artists"
Xenoblade Chronicles 3,"Masatsugu Saito (Saitom), Koichi Mugitani (CHOCO)"
Xenoblade Chronicles X,"Norihiro Takami, Kunihiko Tanaka, Takayuki Yanase, Koichi Mugitani (CHOCO), Yoko Tsukamoto"
Xenogears,"Kunihiko Tanaka, Junya Ishigaki, Tsutomu Terada, Tadahiro Usuda, Yoshinori Ogura, Yasuyuki Honne"
Xenosaga Episode I: Der Wille zur Macht,"Kunihiko Tanaka, Koichi Mugitani (CHOCO)"
Xenosaga Episode II: Jenseits von Gut und Böse,"Kunihiko Tanaka, Koichi Mugitani (CHOCO)"
Xenosaga Episode III: Also sprach Zarathustra,Koichi Mugitani (CHOCO)
X-Men Origins: Wolverine,Nick Choles
Yaiba: Ninja Gaiden Z,"Keron Grant (ink concepts), Kazuya Tsurumaki (Nuigurumaa), Shigeto Koyama (Nuigurumaa)"
Yakuza,???
Yakuza 5,???
Yggdra Union: We'll Never Fight Alone,"Satoko Kiyuduki (characters), Sunaho Tobe (cards)"
Yoshi's Island DS,"Yasuhisa Nakagawa, Masanori Sato, Yu Kitai, Yoshitomo Kitamura"
Yoshi's New Island,"Sachiko Nakamichi, Hisayo Osanai, Shiori Adachi, Rusuke Yoshida, Naoko Ayabe"
Youkai Watch,???
Ys: Memories of Celceta,???
Ys: The Ark of Napishtim,Shunsuke Taue
Ys VIII: Lacrimosa of Dana,???
Zack & Wiki: Quest for Barbaros' Treasure,???
ZerA Imperan Intrigue,"Dong-hwan Go, Jong-taek Ryu, Woon-seok Shin, Joyub Lee, Yunhwa Jeong"
Zombie Playground,Jason Chan
Zone of the Enders: The 2nd Runner,"Tsubasa Masao, Yoji Shinkawa, Kazuma Kaneko"

